Salón,Grupo,Lugar,Semana,Fecha,Alimento,Precio, Unidad,Observaciones
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Cebolla,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Coliflor,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Papá Sabanera,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Tomate larga vida,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Zanahoria,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Fresa,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Granadilla,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Lulo,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Maracuya,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Manzana verde,0,Lb,NA
3,G8, Carulla Bacata, 2, Feb-13, Cebolla,0,Lb,NA
3,G8, Carulla Bacata, 2, Feb-13, Coliflor,0,Lb,NA
3,G8, Carulla Bacata,2, Feb-13, Papá Sabanera,0,Lb,NA
3,G8, Carulla Bacata, 2, Feb-13, Tomate larga vida,0,Lb,NA
3,G8, Carulla Bacata, 2, Feb-13, Zanahoria,0,Lb,NA
3,G8, Carulla Bacata, 2, Feb-13, Fresa,0,Lb,NA
3,G8, Carulla Bacata, 2, Feb-13, Granadilla,0,Lb,NA
3,G8, Carulla Bacata, 2, Feb-13, Lulo,0,Lb,NA
3,G8, Carulla Bacata, 2, Feb-13, Maracuya,0,Lb,NA
3,G8,Carulla Bacata, 2, Feb-13, Manzana verde,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 3, Feb-21, Cebolla,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 3, Feb-21, Coliflor,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 3, Feb-21, Papá Sabanera,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 3, Feb-21, Tomate larga vida,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 3, Feb-21, Zanahoria,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 3, Feb-21, Fresa,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 3, Feb-21, Granadilla,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 3, Feb-21, Lulo,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 3, Feb-21, Maracuya,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 3, Feb-21, Manzana verde,0,Lb,NA
3,G8, Carulla Bacata, 4, Feb-26, Cebolla,1170,Lb,NA
3,G8, Carulla Bacata, 4, Feb-26, Coliflor,5750,Lb,NA
3,G8, Carulla Bacata,4, Feb-26, Papá Sabanera,1800,Lb,NA
3,G8, Carulla Bacata, 4, Feb-26, Tomate larga vida,4875,Lb,NA
3,G8, Carulla Bacata, 4, Feb-26, Zanahoria,1425,Lb,NA
3,G8, Carulla Bacata, 4, Feb-26, Fresa,5150,Lb,NA
3,G8, Carulla Bacata, 4, Feb-26, Granadilla,7100,Lb,NA
3,G8, Carulla Bacata, 4, Feb-26, Lulo,6750,Lb,NA
3,G8, Carulla Bacata, 4, Feb-26, Maracuya,8660,Lb,NA
3,G8,Carulla Bacata, 4, Feb-26, Manzana verde,5825,Lb,NA
