Salón,Grupo,Lugar,Semana,Fecha,Alimento,Precio, Unidad,Observaciones
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Cebolla,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Coliflor,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Papá Sabanera,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Tomate larga vida,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Zanahoria,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Fresa,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Granadilla,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Lulo,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Maracuya,0,Lb,NA
3,G8, Surtifruver de La sabana Calle 90, 1, Feb-5, Manzana verde,0,Lb,NA
